mass_Msun,(GM/c^2)^4_m^4,"alpha_max_m^4 (delta=0.30,kappa=1)",hat_alpha_max (dimensionless)
1.0,4754813027402.676,1426443908220.8027,0.3
1.2,9859580293622.19,2957874088086.6567,0.3
1.4,18266089726070.113,5479826917821.034,0.3
2.0,76077008438442.81,22823102531532.844,0.3
2.8,292257435617121.8,87677230685136.55,0.3
5.0,2971758142126672.5,891527442638001.8,0.3
10.0,4.754813027402676e+16,1.4264439082208028e+16,0.3
20.0,7.607700843844282e+17,2.2823102531532845e+17,0.3
30.0,3.851398552196167e+18,1.15541956565885e+18,0.3
60.0,6.1622376835138675e+19,1.84867130505416e+19,0.3
80.0,1.947571416024136e+20,5.842714248072408e+19,0.3
100.0,4.754813027402673e+20,1.4264439082208018e+20,0.3
